                        ReAV    ReAIV   EcAI    EcAII   EcAIII
Goldbacteria            0       0       0       0       0       
Myxococcota             27      61      194     53      207     
Coprothermobacterota    3       2       0       0       0       
Caldisericota           0       2       0       2       10      
Wallbacteria            0       0       3       0       0       
Proteobacteria          393     2914    4101    6535    5319    
UBP14                   0       0       0       2       0       
DQWO01                  0       0       0       0       0       
Dormibacterota          4       30      0       3       43      
Firmicutes              386     320     427     2276    306     
Thermotogota            0       0       0       42      21      
SM23-31                 0       0       0       0       1       
Firmicutes_D            3       20      2       6       0       
SpSt-318                0       0       0       0       0       
RBG-13-66-14            0       0       0       1       2       
OLB16                   0       0       0       0       2       
UBP13                   0       0       0       0       0       
UBA9089                 0       0       1       0       0       
Bdellovibrionota        18      52      103     17      33      
Fermentibacterota       0       0       2       21      0       
Hydrogenedentota        0       0       1       0       7       
Thermosulfidibacterota  0       0       0       0       0       
QNDG01                  0       0       1       3       5       
SLNR01                  0       1       0       0       0       
CAIJMQ01                0       0       0       0       0       
SpSt-956                0       0       1       0       0       
Firmicutes_C            5       27      66      239     1       
TA06_A                  0       0       0       0       1       
Margulisbacteria        0       0       0       3       0       
KSB1                    0       7       10      15      21      
JABMQX01                0       0       0       0       0       
Patescibacteria         0       0       197     61      7       
Bdellovibrionota_C      0       1       4       0       13      
Marinisomatota          44      33      36      56      113     
Chlamydiota             1       0       1       6       1       
Muirbacteria            0       0       1       0       0       
Campylobacterota        2       1       83      379     31  
